Table - P-wave Time and Velocity Computation

------------------------------------------------------------------------------------------
Company:                                                            Great Bear Petroleum .
Well:                                                                             Alcor #1

Seismic reference datum:                                                   350.00 ft (MSL)
Source elevation:                                                          178.00 ft (MSL)
Source offset from wellhead:                                               315.00 ft      
Source azimuth:                                                            187.00 deg     
Well reference elevation (KB):                                             199.00 ft (MSL)
Correction velocity:                                                      10000.0 ft/s    
Method of calculation:                                                          Curved ray
Nomenclature
MD:       Measured depth of receiver below well reference
TVD:      True vertical depth of receiver below well reference
TVDSD:    True vertical depth of receiver below seismic datum
Offset:   Horizontal distance between source and receiver
Tt:       Time from source to receiver
Tv:       Vertical time from source to receiver
Ts:       Static time correction from source to seismic datum
Tc:       Corrected vertical time from seismic datum to receiver
TWT:      Two-way vertical time below seismic datum
Vave:     Average velocity
DZ:       Vertical depth interval
DT:       Vertical time interval
Vint:     Interval velocity
Vrms:     RMS velocity
------------------------------------------------------------------------------------------

    MD      TVD    TVDSD  Offset     Tt      Tv      Ts      Tc      TWT    Vave     DZ      DT     Vint    Vrms
  6550.0  6550.0  6701.0   315.3   749.6   748.7    17.2   765.9  1531.9  8748.6    50.0     4.5 11098.8  8828.5
  6600.0  6600.0  6751.0   315.3   754.2   753.3    17.2   770.5  1541.1  8761.4    50.0     4.6 10898.4  8842.3
  6650.0  6650.0  6801.0   315.3   758.8   757.9    17.2   775.1  1550.2  8774.1    50.0     4.6 10898.4  8855.9
  6700.0  6700.0  6851.0   315.3   763.3   762.5    17.2   779.7  1559.3  8787.0    50.0     4.5 10990.8  8869.8
  6750.0  6750.0  6901.0   315.3   767.9   767.1    17.2   784.3  1568.6  8799.0    50.0     4.6 10809.2  8882.5
  6800.0  6800.0  6951.0   315.3   772.5   771.7    17.2   788.9  1577.8  8811.2    50.0     4.6 10900.0  8895.6
  6850.0  6850.0  7001.0   315.3   777.0   776.2    17.2   793.4  1586.8  8824.2    50.0     4.5 11109.9  8909.7
  6900.0  6900.0  7051.0   315.3   781.6   780.8    17.2   798.0  1595.9  8836.3    50.0     4.6 10938.6  8922.6
  6950.0  6950.0  7101.0   315.3   786.1   785.3    17.2   802.5  1605.1  8848.3    50.0     4.6 10939.0  8935.4

    MD      TVD    TVDSD  Offset     Tt      Tv      Ts      Tc      TWT    Vave     DZ      DT     Vint    Vrms
   (ft)     (ft)    (ft)    (ft)    (ms)    (ms)    (ms)    (ms)    (ms)  (ft/s)    (ft)    (ms)  (ft/s)  (ft/s)

  7000.0  7000.0  7151.0   315.3   790.7   789.9    17.2   807.1  1614.2  8860.1    50.0     4.6 10939.3  8948.0
  7050.0  7050.0  7201.0   315.3   795.3   794.5    17.2   811.7  1623.3  8871.8    50.0     4.6 10939.3  8960.4
  7100.0  7100.0  7251.0   315.3   799.8   799.0    17.2   816.2  1632.5  8883.4    50.0     4.6 10937.6  8972.7
  7150.0  7150.0  7301.0   315.3   804.2   803.5    17.2   820.7  1641.3  8896.5    50.0     4.4 11322.2  8987.0
  7200.0  7200.0  7351.0   315.3   808.7   808.0    17.2   825.2  1650.3  8908.5    50.0     4.5 11093.1  8999.9
  7250.0  7250.0  7401.0   315.3   813.2   812.4    17.2   829.6  1659.2  8921.1    50.0     4.4 11260.5  9013.5
  7300.0  7300.0  7451.0   315.3   817.6   816.8    17.2   834.0  1668.0  8934.0    50.0     4.4 11365.1  9027.5
  7350.0  7350.0  7501.0   315.3   821.9   821.1    17.2   838.3  1676.6  8947.7    50.0     4.3 11593.4  9042.5
  7400.0  7400.0  7551.0   315.3   826.2   825.5    17.2   842.7  1685.4  8960.7    50.0     4.4 11467.7  9056.8
  7450.0  7450.0  7601.0   315.3   830.5   829.8    17.2   847.0  1694.0  8973.9    50.0     4.3 11530.3  9071.1
  7500.0  7500.0  7651.0   315.3   834.9   834.2    17.2   851.4  1702.8  8986.1    50.0     4.4 11337.2  9084.3
  7550.0  7550.0  7701.0   315.3   839.3   838.6    17.2   855.8  1711.5  8998.9    50.0     4.3 11507.2  9098.3
  7600.0  7600.0  7751.0   315.3   843.6   842.9    17.2   860.1  1720.2  9011.7    50.0     4.3 11531.2  9112.2
  7650.0  7650.0  7801.0   315.3   847.8   847.1    17.2   864.3  1728.5  9026.1    50.0     4.2 11991.4  9128.2
  7700.0  7700.0  7851.0   315.3   851.9   851.2    17.2   868.4  1736.9  9040.3    50.0     4.2 11992.1  9144.1
  7750.0  7750.0  7901.0   315.3   856.2   855.5    17.2   872.7  1745.4  9053.6    50.0     4.3 11757.5  9158.7
  7800.0  7800.0  7951.0   315.3   860.4   859.7    17.2   876.9  1753.9  9066.9    50.0     4.2 11810.3  9173.3
  7850.0  7850.0  8001.0   315.3   864.6   863.9    17.2   881.1  1762.2  9080.5    50.0     4.2 11938.7  9188.4
  7900.0  7900.0  8051.0   315.3   868.9   868.3    17.2   885.5  1770.9  9092.5    50.0     4.3 11532.6  9201.4
  7950.0  7950.0  8101.0   315.3   873.2   872.5    17.2   889.7  1779.4  9105.3    50.0     4.3 11758.5  9215.3
  8000.0  8000.0  8151.0   315.3   877.4   876.8    17.2   894.0  1787.9  9117.9    50.0     4.3 11759.0  9229.0
  8050.0  8050.0  8201.0   315.3   881.8   881.2    17.2   898.4  1796.7  9128.9    50.0     4.4 11377.9  9240.8
  8100.0  8100.0  8251.0   315.3   886.0   885.3    17.2   902.5  1805.1  9141.9    50.0     4.2 11925.6  9255.0
  8150.0  8150.0  8301.0   315.3   890.1   889.4    17.2   906.6  1813.3  9155.9    50.0     4.1 12237.9  9270.6
  8200.0  8200.0  8351.0   315.3   894.0   893.4    17.2   910.6  1821.2  9170.9    50.0     4.0 12614.8  9287.8
  8250.0  8250.0  8401.0   315.3   898.0   897.4    17.2   914.6  1829.2  9185.5    50.0     4.0 12492.9  9304.2
  8300.0  8300.0  8451.0   315.3   902.1   901.5    17.2   918.7  1837.4  9199.1    50.0     4.1 12254.2  9319.4
  8350.0  8350.0  8501.0   315.3   906.2   905.6    17.2   922.8  1845.5  9212.6    50.0     4.1 12253.7  9334.4
  8400.0  8400.0  8551.0   315.3   910.3   909.7    17.2   926.9  1853.8  9225.5    50.0     4.1 12095.7  9348.5
  8450.0  8450.0  8601.0   315.3   914.4   913.8    17.2   931.0  1862.0  9238.5    50.0     4.1 12180.5  9362.9
  8500.0  8500.0  8651.0   315.3   918.6   918.0    17.2   935.2  1870.3  9250.9    50.0     4.2 12023.7  9376.4
  8550.0  8550.0  8701.0   315.3   923.1   922.5    17.2   939.7  1879.4  9259.3    50.0     4.5 10989.5  9384.9
  8600.0  8600.0  8751.0   315.3   927.7   927.1    17.2   944.3  1888.5  9267.6    50.0     4.6 10981.1  9393.2
  8650.0  8650.0  8801.0   315.3   932.1   931.5    17.2   948.7  1897.4  9276.7    50.0     4.5 11191.1  9402.5
  8700.0  8700.0  8851.0   315.3   937.0   936.4    17.2   953.6  1907.3  9281.4    50.0     4.9 10191.7  9406.7
  8750.0  8750.0  8901.0   315.3   941.6   941.0    17.2   958.2  1916.3  9289.6    50.0     4.5 11006.2  9414.9
  8800.0  8800.0  8951.0   315.3   946.3   945.7    17.2   962.9  1925.9  9295.6    50.0     4.8 10506.8  9420.6
  8850.0  8850.0  9001.0   315.3   951.2   950.6    17.2   967.8  1935.7  9300.1    50.0     4.9 10198.5  9424.8
  8900.0  8900.0  9051.0   315.3   956.3   955.8    17.2   973.0  1945.9  9302.6    50.0     5.1  9768.2  9426.6
  8950.0  8950.0  9101.0   315.3   961.5   960.9    17.2   978.1  1956.1  9305.0    50.0     5.1  9768.5  9428.4
  9000.0  9000.0  9151.0   315.3   966.9   966.3    17.2   983.5  1967.0  9304.7    50.0     5.4  9247.8  9427.4


    MD      TVD    TVDSD  Offset     Tt      Tv      Ts      Tc      TWT    Vave     DZ      DT     Vint    Vrms
   (ft)     (ft)    (ft)    (ft)    (ms)    (ms)    (ms)    (ms)    (ms)  (ft/s)    (ft)    (ms)  (ft/s)  (ft/s)

  9050.0  9050.0  9201.0   315.3   972.0   971.4    17.2   988.6  1977.2  9307.1    50.0     5.1  9768.3  9429.2
  9100.0  9100.0  9251.0   315.3   977.4   976.8    17.2   994.0  1988.0  9306.8    50.0     5.4  9248.0  9428.2
  9150.0  9150.0  9301.0   315.3   982.6   982.1    17.2   999.3  1998.5  9307.8    50.0     5.3  9501.3  9428.6
  9200.0  9200.0  9351.0   315.3   987.9   987.3    17.2  1004.5  2009.0  9309.2    50.0     5.2  9581.4  9429.4
  9250.0  9250.0  9401.0   315.3   993.1   992.5    17.2  1009.7  2019.5  9310.3    50.0     5.3  9516.5  9429.9
  9300.0  9300.0  9451.0   315.3   998.4   997.9    17.2  1015.1  2030.1  9310.7    50.0     5.3  9376.7  9429.6
  9350.0  9350.0  9501.0   315.3  1003.7  1003.1    17.2  1020.3  2040.6  9311.7    50.0     5.3  9517.8  9430.1
  9400.0  9400.0  9551.0   315.3  1008.8  1008.2    17.2  1025.4  2050.9  9314.1    50.0     5.1  9784.5  9431.9
  9450.0  9450.0  9601.0   315.3  1014.0  1013.5    17.2  1030.7  2061.4  9315.2    50.0     5.2  9538.6  9432.4
  9500.0  9500.0  9651.0   315.3  1019.4  1018.8    17.2  1036.0  2072.0  9315.6    50.0     5.3  9377.6  9432.1
  9550.0  9550.0  9701.0   315.3  1024.6  1024.1    17.2  1041.3  2082.5  9316.6    50.0     5.3  9516.7  9432.6
  9600.0  9600.0  9751.0   315.3  1029.9  1029.4    17.2  1046.6  2093.2  9316.9    50.0     5.3  9377.6  9432.3
  9650.0  9650.0  9801.0   315.3  1035.2  1034.6    17.2  1051.8  2103.6  9318.2    50.0     5.2  9573.6  9433.0
  9700.0  9700.0  9851.0   315.3  1040.3  1039.8    17.2  1057.0  2114.0  9319.7    50.0     5.2  9632.3  9434.0
  9750.0  9750.0  9901.0   315.3  1045.6  1045.1    17.2  1062.3  2124.6  9320.5    50.0     5.3  9487.9  9434.2
  9800.0  9800.0  9951.0   315.3  1050.9  1050.3    17.2  1067.5  2135.1  9321.5    50.0     5.3  9517.4  9434.7
  9850.0  9850.0 10001.0   315.3  1056.3  1055.7    17.2  1072.9  2145.9  9321.1    50.0     5.4  9242.8  9433.7
  9900.0  9900.0 10051.0   315.3  1061.6  1061.1    17.2  1078.3  2156.5  9321.4    50.0     5.3  9379.5  9433.4
  9950.0  9950.0 10101.0   315.3  1066.9  1066.3    17.2  1083.5  2167.1  9322.3    50.0     5.3  9502.7  9433.8
 10000.0 10000.0 10151.0   315.3  1072.3  1071.8    17.2  1089.0  2178.0  9321.3    50.0     5.5  9126.8  9432.2
 10050.0 10050.0 10201.0   315.3  1077.7  1077.1    17.2  1094.3  2188.7  9321.6    50.0     5.3  9374.2  9432.0
 10100.0 10100.0 10251.0   315.3  1082.9  1082.4    17.2  1099.6  2199.2  9322.5    50.0     5.3  9514.1  9432.4
 10150.0 10150.0 10301.0   315.3  1088.3  1087.7    17.2  1104.9  2209.9  9322.7    50.0     5.3  9362.1  9432.0
 10200.0 10200.0 10351.0   315.3  1093.4  1092.9    17.2  1110.1  2220.3  9324.1    50.0     5.2  9635.0  9433.0
 10250.0 10250.0 10401.0   315.3  1098.7  1098.2    17.2  1115.4  2230.8  9325.0    50.0     5.3  9501.2  9433.3
 10300.0 10300.0 10451.0   315.3  1103.6  1103.1    17.2  1120.3  2240.6  9328.8    50.0     4.9 10200.4  9436.8
 10350.0 10350.0 10501.0   315.3  1108.5  1108.0    17.2  1125.2  2250.3  9332.9    50.0     4.9 10272.1  9440.6
 10400.0 10400.0 10551.0   315.3  1113.2  1112.7    17.2  1129.9  2259.9  9337.6    50.0     4.8 10452.1  9445.1

Great Bear Petroleum                                                                                                                                                                                              Well : Alcor #1

